quando                    | quem    | balcao | o_que                     | canal_criado/usado 
Thu May 28 22:23:14 2015  | Balcao  | 1      | cria_linh_mempart         | tmp/fb3633        
Thu May 28 22:23:14 2015  | Balcao  | 1      | inicia_mempart            | -                 
Thu May 28 22:23:14 2015  | Balcao  | 2      | cria_linh_mempart         | tmp/fb3632        
Thu May 28 22:23:14 2015  | Balcao  | 3      | cria_linh_mempart         | tmp/fb3631        
Thu May 28 22:23:18 2015  | Cliente | 3      | pede_atendimento          | tmp/fc3644        
Thu May 28 22:23:18 2015  | Cliente | 4      | pede_atendimento          | tmp/fc3645        
Thu May 28 22:23:18 2015  | Cliente | 5      | pede_atendimento          | tmp/fc3646        
Thu May 28 22:23:18 2015  | Cliente | 6      | pede_atendimento          | tmp/fc3647        
Thu May 28 22:23:18 2015  | Cliente | 7      | pede_atendimento          | tmp/fc3648        
Thu May 28 22:23:18 2015  | Cliente | 2      | pede_atendimento          | tmp/fc3643        
Thu May 28 22:23:18 2015  | Cliente | 8      | pede_atendimento          | tmp/fc3649        
Thu May 28 22:23:18 2015  | Cliente | 9      | pede_atendimento          | tmp/fc3650        
Thu May 28 22:23:18 2015  | Cliente | 1      | pede_atendimento          | tmp/fc3642        
Thu May 28 22:23:18 2015  | Cliente | 10     | pede_atendimento          | tmp/fc3655        
Thu May 28 22:23:18 2015  | Cliente | 11     | pede_atendimento          | tmp/fc3656        
Thu May 28 22:23:18 2015  | Cliente | 18     | pede_atendimento          | tmp/fc3663        
Thu May 28 22:23:18 2015  | Cliente | 16     | pede_atendimento          | tmp/fc3661        
Thu May 28 22:23:18 2015  | Cliente | 20     | pede_atendimento          | tmp/fc3665        
Thu May 28 22:23:18 2015  | Cliente | 19     | pede_atendimento          | tmp/fc3664        
Thu May 28 22:23:18 2015  | Cliente | 13     | pede_atendimento          | tmp/fc3658        
Thu May 28 22:23:18 2015  | Cliente | 14     | pede_atendimento          | tmp/fc3659        
Thu May 28 22:23:18 2015  | Cliente | 12     | pede_atendimento          | tmp/fc3657        
Thu May 28 22:23:18 2015  | Cliente | 17     | pede_atendimento          | tmp/fc3662        
Thu May 28 22:23:18 2015  | Cliente | 21     | pede_atendimento          | tmp/fc3666        
Thu May 28 22:23:18 2015  | Cliente | 15     | pede_atendimento          | tmp/fc3660        
Thu May 28 22:23:18 2015  | Cliente | 22     | pede_atendimento          | tmp/fc3667        
Thu May 28 22:23:18 2015  | Cliente | 23     | pede_atendimento          | tmp/fc3668        
Thu May 28 22:23:18 2015  | Cliente | 24     | pede_atendimento          | tmp/fc3669        
Thu May 28 22:23:18 2015  | Cliente | 25     | pede_atendimento          | tmp/fc3670        
Thu May 28 22:23:18 2015  | Cliente | 26     | pede_atendimento          | tmp/fc3671        
Thu May 28 22:23:18 2015  | Cliente | 27     | pede_atendimento          | tmp/fc3672        
Thu May 28 22:23:18 2015  | Cliente | 28     | pede_atendimento          | tmp/fc3673        
Thu May 28 22:23:18 2015  | Cliente | 29     | pede_atendimento          | tmp/fc3674        
